Year,Month,TimeOfDay,District,Community_Area,CrimeCount,Arrests
2001,1,Afternoon,1,-1,141,45
2001,1,Afternoon,1,28,66,29
2001,1,Afternoon,1,32,369,176
2001,1,Afternoon,1,32.12,6,5
2001,1,Afternoon,1,32.125,1,0
2001,1,Afternoon,1,33,9,3
2001,1,Afternoon,2,-1,721,258
2001,1,Afternoon,2,33,46,19
2001,1,Afternoon,2,33.333333333333336,3,2
2001,1,Afternoon,2,33.977777777777774,1,0
2001,1,Afternoon,2,34,9,2
2001,1,Afternoon,2,35,158,132
2001,1,Afternoon,2,36.66666666666666,2,1
2001,1,Afternoon,2,36.75,1,1
2001,1,Afternoon,2,37.5,1,1
2001,1,Afternoon,2,38,68,38
2001,1,Afternoon,2,39,1,0
2001,1,Afternoon,2,40,9,2
2001,1,Afternoon,2,41,1,0
2001,1,Afternoon,2,68,5,2
2001,1,Afternoon,3,-1,545,157
2001,1,Afternoon,3,41,2,1
2001,1,Afternoon,3,42,4,2
2001,1,Afternoon,3,43,19,2
2001,1,Afternoon,3,69,12,2
2001,1,Afternoon,4,-1,540,146
2001,1,Afternoon,4,43,8,0
2001,1,Afternoon,4,43.5,4,0
2001,1,Afternoon,4,43.93103448275862,1,0
2001,1,Afternoon,4,46,4,1
2001,1,Afternoon,4,52,16,5
2001,1,Afternoon,4,55,2,1
2001,1,Afternoon,5,-1,388,106
2001,1,Afternoon,5,49,14,2
2001,1,Afternoon,5,53,45,12
2001,1,Afternoon,6,-1,488,176
2001,1,Afternoon,6,44,2,0
2001,1,Afternoon,6,49,3,1
2001,1,Afternoon,6,69,4,2
2001,1,Afternoon,6,71,106,21
2001,1,Afternoon,7,-1,389,98
2001,1,Afternoon,7,67,81,23
2001,1,Afternoon,7,68,156,45
2001,1,Afternoon,8,-1,669,175
2001,1,Afternoon,8,30,1,0
2001,1,Afternoon,8,57,12,5
2001,1,Afternoon,8,58,2,0
2001,1,Afternoon,8,62,9,5
2001,1,Afternoon,8,63,8,1
2001,1,Afternoon,8,65,22,10
2001,1,Afternoon,8,65.83333333333333,1,0
2001,1,Afternoon,8,66,40,6
2001,1,Afternoon,8,70,6,1
2001,1,Afternoon,9,-1,417,137
2001,1,Afternoon,9,34,2,1
2001,1,Afternoon,9,35,1,1
2001,1,Afternoon,9,35.5,1,0
2001,1,Afternoon,9,36.5,1,1
2001,1,Afternoon,9,37,5,2
2001,1,Afternoon,9,58,12,1
2001,1,Afternoon,9,58.11111111111112,1,0
2001,1,Afternoon,9,59,7,0
2001,1,Afternoon,9,60,32,4
2001,1,Afternoon,9,60.333333333333336,1,0
2001,1,Afternoon,9,60.5,1,0
2001,1,Afternoon,9,60.71428571428572,1,0
2001,1,Afternoon,9,60.90476190476191,3,3
2001,1,Afternoon,9,61,76,28
2001,1,Afternoon,9,63,4,1
2001,1,Afternoon,9,64,2,1
2001,1,Afternoon,10,-1,369,122
2001,1,Afternoon,10,28,1,1
2001,1,Afternoon,10,29,36,19
2001,1,Afternoon,10,30,21,7
2001,1,Afternoon,10,31,18,9
2001,1,Afternoon,11,-1,316,148
2001,1,Afternoon,11,23,37,14
2001,1,Afternoon,11,25,21,14
2001,1,Afternoon,11,26,76,32
2001,1,Afternoon,11,27,91,36
2001,1,Afternoon,11,28,6,2
2001,1,Afternoon,11,28.849056603773583,1,0
2001,1,Afternoon,11,29,43,23
2001,1,Afternoon,12,-1,332,143
2001,1,Afternoon,12,23,5,3
2001,1,Afternoon,12,24,92,15
2001,1,Afternoon,12,27,20,11
2001,1,Afternoon,12,27.77777777777778,1,0
2001,1,Afternoon,12,28,161,65
2001,1,Afternoon,12,31,38,7
2001,1,Afternoon,14,-1,383,115
2001,1,Afternoon,14,21,8,1
2001,1,Afternoon,14,22,54,6
2001,1,Afternoon,14,23,14,3
2001,1,Afternoon,14,23.6,1,0
2001,1,Afternoon,14,24,59,13
2001,1,Afternoon,15,-1,323,148
2001,1,Afternoon,15,25,165,90
2001,1,Afternoon,16,-1,279,58
2001,1,Afternoon,16,10,1,0
2001,1,Afternoon,16,11,9,1
2001,1,Afternoon,16,12,1,1
2001,1,Afternoon,16,12.6,1,0
2001,1,Afternoon,16,15,39,6
2001,1,Afternoon,16,16.2,1,1
2001,1,Afternoon,16,17,20,4
2001,1,Afternoon,16,76,56,12
2001,1,Afternoon,17,-1,251,60
2001,1,Afternoon,17,13,4,0
2001,1,Afternoon,17,13.675,3,1
2001,1,Afternoon,17,14,12,3
2001,1,Afternoon,17,15,15,7
2001,1,Afternoon,17,16,47,13
2001,1,Afternoon,17,20.285714285714285,1,0
2001,1,Afternoon,17,20.33333333333333,2,2
2001,1,Afternoon,17,20.73684210526316,2,2
2001,1,Afternoon,17,20.904761904761905,2,1
2001,1,Afternoon,17,21,5,1
2001,1,Afternoon,18,-1,246,90
2001,1,Afternoon,18,7,41,11
2001,1,Afternoon,18,8,283,91
2001,1,Afternoon,18,9.846153846153848,1,0
2001,1,Afternoon,19,-1,316,93
2001,1,Afternoon,19,3,57,16
2001,1,Afternoon,19,4,1,0
2001,1,Afternoon,19,4.469387755102041,2,0
2001,1,Afternoon,19,5,22,1
2001,1,Afternoon,19,5.333333333333333,1,1
2001,1,Afternoon,19,6,97,33
2001,1,Afternoon,19,7,35,6
2001,1,Afternoon,20,-1,155,35
2001,1,Afternoon,20,2,1,1
2001,1,Afternoon,20,3,36,9
2001,1,Afternoon,20,4,9,2
2001,1,Afternoon,20,77,41,12
2001,1,Afternoon,22,-1,272,72
2001,1,Afternoon,22,49,9,2
2001,1,Afternoon,22,53,1,0
2001,1,Afternoon,22,59.70588235294117,2,0
2001,1,Afternoon,22,60.55555555555556,7,0
2001,1,Afternoon,22,60.81818181818182,1,0
2001,1,Afternoon,22,61,1,1
2001,1,Afternoon,22,62,1,0
2001,1,Afternoon,22,62.6,1,1
2001,1,Afternoon,22,63.44444444444444,1,0
2001,1,Afternoon,22,66.33333333333333,1,0
2001,1,Afternoon,22,71,16,4
2001,1,Afternoon,22,72,4,2
2001,1,Afternoon,22,73,59,16
2001,1,Afternoon,22,75,19,6
2001,1,Afternoon,24,-1,272,66
2001,1,Afternoon,24,1,70,27
2001,1,Afternoon,24,2,9,2
2001,1,Afternoon,24,77,14,3
2001,1,Afternoon,25,-1,536,174
2001,1,Afternoon,25,19,12,0
2001,1,Afternoon,25,20,7,1
2001,1,Afternoon,25,21,11,2
2001,1,Afternoon,25,22,5,2
2001,1,Afternoon,25,23,26,9
2001,1,Afternoon,25,25,18,10
2001,1,Evening,1,-1,67,23
