Year,DayOfWeek,Crime_Count
2001,Friday,49936
2001,Monday,48672
2001,Saturday,47473
2001,Sunday,44775
2001,Thursday,48240
2001,Tuesday,48298
2001,Wednesday,48397
2002,Friday,146
2002,Monday,138
2002,Saturday,162
2002,Sunday,160
2002,Thursday,130
2002,Tuesday,151
2002,Wednesday,127
2003,Friday,124
2003,Monday,110
2003,Saturday,141
2003,Sunday,138
2003,Thursday,139
2003,Tuesday,141
2003,Wednesday,134
2004,Friday,90
2004,Monday,109
2004,Saturday,107
2004,Sunday,121
2004,Thursday,122
2004,Tuesday,93
2004,Wednesday,89
2005,Friday,97
2005,Monday,102
2005,Saturday,141
2005,Sunday,127
2005,Thursday,100
2005,Tuesday,105
2005,Wednesday,83
2006,Friday,124
2006,Monday,81
2006,Saturday,108
2006,Sunday,132
2006,Thursday,113
2006,Tuesday,107
2006,Wednesday,99
2007,Friday,95
2007,Monday,110
2007,Saturday,114
2007,Sunday,124
2007,Thursday,95
2007,Tuesday,102
2007,Wednesday,94
2008,Friday,134
2008,Monday,127
2008,Saturday,148
2008,Sunday,121
2008,Thursday,99
2008,Tuesday,117
2008,Wednesday,108
2009,Friday,122
2009,Monday,90
2009,Saturday,115
2009,Sunday,133
2009,Thursday,129
2009,Tuesday,101
2009,Wednesday,116
2010,Friday,93
2010,Monday,86
2010,Saturday,112
2010,Sunday,101
2010,Thursday,125
2010,Tuesday,100
2010,Wednesday,104
2011,Friday,88
2011,Monday,84
2011,Saturday,144
2011,Sunday,108
2011,Thursday,103
2011,Tuesday,87
2011,Wednesday,68
2012,Friday,92
2012,Monday,115
2012,Saturday,126
2012,Sunday,135
2012,Thursday,97
2012,Tuesday,93
2012,Wednesday,97
2013,Friday,104
2013,Monday,92
2013,Saturday,109
2013,Sunday,100
2013,Thursday,87
2013,Tuesday,111
2013,Wednesday,99
2014,Friday,98
2014,Monday,97
2014,Saturday,120
2014,Sunday,114
2014,Thursday,78
2014,Tuesday,84
2014,Wednesday,108
2015,Friday,102
2015,Monday,95
2015,Saturday,116
2015,Sunday,146
2015,Thursday,139
2015,Tuesday,96
2015,Wednesday,119
2016,Friday,190
2016,Monday,147
2016,Saturday,173
2016,Sunday,181
2016,Thursday,148
2016,Tuesday,158
2016,Wednesday,146
2017,Friday,153
2017,Monday,156
2017,Saturday,154
2017,Sunday,198
2017,Thursday,142
2017,Tuesday,124
2017,Wednesday,156
2018,Friday,160
2018,Monday,190
2018,Saturday,159
2018,Sunday,171
2018,Thursday,145
2018,Tuesday,151
2018,Wednesday,146
2019,Friday,146
2019,Monday,125
2019,Saturday,161
2019,Sunday,154
2019,Thursday,128
2019,Tuesday,166
2019,Wednesday,125
2020,Friday,222
2020,Monday,242
2020,Saturday,243
2020,Sunday,271
2020,Thursday,223
2020,Tuesday,226
2020,Wednesday,282
2021,Friday,334
2021,Monday,309
2021,Saturday,287
2021,Sunday,310
2021,Thursday,255
2021,Tuesday,264
2021,Wednesday,286
2022,Friday,696
2022,Monday,527
2022,Saturday,701
2022,Sunday,468
2022,Thursday,699
2022,Tuesday,596
2022,Wednesday,599
2023,Friday,13432
2023,Monday,11861
2023,Saturday,13199
2023,Sunday,13093
2023,Thursday,12702
2023,Tuesday,11994
2023,Wednesday,12871
2024,Friday,14095
2024,Monday,14901
2024,Saturday,13911
2024,Sunday,13877
2024,Thursday,13995
2024,Tuesday,14657
2024,Wednesday,14885
