Year,TimeOfDay,District,Community_Area,CrimeCount
2003,Night,1,33,1
2007,Afternoon,1,33,2
2016,Evening,1,33,1
2020,Evening,1,33,1
2001,Afternoon,1,35,2
2015,Evening,1,33,1
2016,Night,1,35,1
2001,Afternoon,1,31,1
2001,Evening,1,35,1
2020,Evening,1,28,1
2005,Afternoon,1,35,1
2001,Afternoon,1,32.125,2
2015,Night,1,33,1
2016,Morning,1,33,1
2015,Afternoon,1,35,1
2001,Evening,1,31,1
2013,Evening,1,35,1
2009,Morning,1,33,1
2003,Evening,1,33,1
2002,Evening,1,-1,1
2004,Evening,1,33,1
2019,Night,1,33,1
2007,Night,1,35,1
2002,Evening,1,33,1
2001,Night,1,32.12,3
2008,Afternoon,1,33,1
2004,Morning,1,32,1
2006,Afternoon,1,33,1
2001,Evening,1,32.125,2
2001,Morning,1,9.846153846153848,1
2001,Afternoon,1,34,1
2001,Evening,1,32.375,1
2001,Afternoon,1,32.5,2
2001,Evening,1,32.5,1
2001,Night,1,8,1
2001,Afternoon,1,9.846153846153848,1
2023,Afternoon,1,32,1214
2023,Evening,1,35,90
2023,Evening,1,33,296
2023,Afternoon,1,28,275
2023,Evening,1,32,764
2023,Afternoon,1,33,283
2023,Morning,1,28,132
2023,Evening,1,34,1
2023,Morning,1,32,601
2023,Afternoon,1,35,116
2023,Night,1,33,182
2023,Night,1,32,413
2022,Morning,1,32,23
2023,Evening,1,28,166
2018,Morning,1,32,6
2022,Night,1,32,25
2023,Night,1,35,89
2023,Morning,1,33,172
2023,Morning,1,35,59
2022,Night,1,33,18
2023,Night,1,28,82
2019,Afternoon,1,32,8
2001,Evening,1,-1,724
2018,Evening,1,32,1
2021,Evening,1,32,6
2021,Afternoon,1,28,1
2022,Evening,1,32,34
2022,Afternoon,1,32,43
2002,Evening,1,28,1
2022,Afternoon,1,28,16
2018,Afternoon,1,32,7
2022,Afternoon,1,33,25
2014,Night,1,32,2
2010,Afternoon,1,35,1
2022,Afternoon,1,35,4
2004,Evening,1,32,1
2009,Afternoon,1,33,3
2023,Afternoon,1,34,6
2002,Evening,1,32,3
2021,Night,1,32,9
2019,Night,1,32,4
2022,Night,1,28,9
2012,Morning,1,32,2
2021,Evening,1,33,4
