Year,TimeOfDay,District,Community_Area,Incident_Type,CrimeCount
2007,Morning,24,1,NON-Domestic,8
2021,Afternoon,25,19,NON-Domestic,8
2021,Morning,17,13,NON-Domestic,1
2023,Morning,19,5,NON-Domestic,89
2023,Morning,6,44,NON-Domestic,335
2002,Evening,5,-1,NON-Domestic,4
2023,Afternoon,1,32,NON-Domestic,1191
2023,Afternoon,12,28,NON-Domestic,743
2023,Evening,3,43,NON-Domestic,401
2023,Morning,17,21,NON-Domestic,77
2023,Evening,8,63,NON-Domestic,112
2023,Afternoon,8,70,NON-Domestic,224
2023,Afternoon,7,69,NON-Domestic,101
2023,Morning,22,73,NON-Domestic,193
2023,Morning,7,67,NON-Domestic,244
2023,Afternoon,9,60,NON-Domestic,140
2023,Morning,11,27,Domestic,70
2023,Night,11,26,NON-Domestic,180
2023,Night,25,25,NON-Domestic,195
2023,Afternoon,19,6,NON-Domestic,670
2023,Afternoon,11,23,NON-Domestic,410
2023,Evening,4,52,NON-Domestic,135
2023,Afternoon,12,24,NON-Domestic,446
2023,Morning,22,73,Domestic,53
2019,Afternoon,6,44,NON-Domestic,14
2020,Afternoon,4,45,Domestic,1
2021,Afternoon,6,44,NON-Domestic,15
2020,Night,9,63,Domestic,2
2011,Night,9,63,Domestic,2
2015,Night,9,63,Domestic,2
2014,Night,9,63,Domestic,1
2022,Afternoon,4,46,Domestic,3
2022,Afternoon,7,68,Domestic,13
2022,Afternoon,12,23,Domestic,1
2022,Evening,3,69,NON-Domestic,8
2022,Afternoon,16,11,NON-Domestic,3
2022,Night,7,68,NON-Domestic,20
2022,Evening,10,30,Domestic,5
2019,Afternoon,11,23,Domestic,2
2022,Night,25,19,Domestic,6
2023,Morning,6,44,Domestic,72
2023,Afternoon,25,19,Domestic,79
2023,Morning,25,19,Domestic,81
2023,Evening,14,24,NON-Domestic,356
2023,Night,5,50,NON-Domestic,36
2023,Afternoon,2,38,NON-Domestic,310
2018,Night,25,25,NON-Domestic,8
2023,Afternoon,2,40,Domestic,44
2023,Afternoon,14,22,NON-Domestic,437
2023,Evening,14,21,NON-Domestic,63
2023,Night,25,19,Domestic,79
2023,Morning,14,24,NON-Domestic,192
2023,Afternoon,25,19,NON-Domestic,406
2023,Morning,14,22,NON-Domestic,241
2023,Afternoon,14,24,NON-Domestic,401
2015,Night,10,30,Domestic,5
2023,Night,25,19,NON-Domestic,305
2023,Afternoon,17,14,NON-Domestic,214
2023,Night,17,14,NON-Domestic,143
2023,Afternoon,14,23,NON-Domestic,80
2023,Evening,8,65,NON-Domestic,159
2023,Morning,25,19,NON-Domestic,307
2023,Afternoon,25,25,Domestic,52
2023,Morning,25,22,Domestic,13
2023,Night,14,24,NON-Domestic,190
2023,Night,6,71,Domestic,121
2023,Afternoon,25,25,NON-Domestic,301
2023,Evening,4,52,Domestic,33
2023,Evening,25,25,NON-Domestic,266
2023,Night,8,66,NON-Domestic,326
2023,Evening,16,11,NON-Domestic,68
2023,Evening,8,63,Domestic,32
2023,Evening,16,15,NON-Domestic,272
2023,Afternoon,16,10,Domestic,19
2023,Evening,25,19,Domestic,93
2023,Afternoon,10,29,Domestic,148
2021,Afternoon,11,25,NON-Domestic,2
2010,Morning,6,71,NON-Domestic,5
2023,Evening,17,14,NON-Domestic,197
2023,Night,8,56,NON-Domestic,163
2023,Afternoon,5,54,Domestic,37
2023,Morning,4,46,NON-Domestic,200
2023,Evening,17,13,NON-Domestic,81
2023,Night,7,68,NON-Domestic,196
2023,Afternoon,3,42,NON-Domestic,312
2023,Evening,20,3,NON-Domestic,102
2023,Afternoon,8,58,NON-Domestic,35
2023,Evening,8,70,Domestic,41
2023,Evening,12,28,Domestic,79
2023,Evening,19,6,NON-Domestic,599
2023,Afternoon,17,15,Domestic,7
2023,Night,18,8,Domestic,72
2023,Evening,3,69,NON-Domestic,222
2023,Afternoon,5,50,NON-Domestic,131
2023,Morning,9,61,NON-Domestic,274
2023,Afternoon,8,66,NON-Domestic,427
