Location_Description,CrimeCount
STREET,165615
RESIDENCE,98896
APARTMENT,58733
SIDEWALK,30108
"PARKING LOT",18107
OTHER,14743
ALLEY,12813
SCHOOL,11752
"SMALL RETAIL STORE",11665
RESTAURANT,9322
GARAGE,8924
"DEPARTMENT STORE",8375
"GROCERY FOOD STORE",8022
"COMMERCIAL BUILDING",6952
"CHA PARKING LOT/GROUNDS",6278
"GAS STATION",5541
"VEHICLE NON-COMMERCIAL",5189
"CHA APARTMENT",4838
"PARK PROPERTY",3840
BAR,3285
"OTHER (SPECIFY)",3237
"DRUG STORE",2994
"CTA PLATFORM",2964
"CHA PROPERTY",2616
HOSPITAL,2173
BANK,2072
"TAVERN/LIQUOR STORE",1952
"CTA TRAIN",1844
"RESIDENCE - YARD (FRONT / BACK)",1802
"UnKnown Location",1657
HOTEL/MOTEL,1655
AIRPORT/AIRCRAFT,1605
"CTA BUS",1596
"VACANT LOT",1593
"PRIVATE SCHOOL",1499
AUTO,1375
"DRIVEWAY - RESIDENTIAL",1370
"CONVENIENCE STORE",1303
"POLICE FACILITY",1057
"HOTEL / MOTEL",990
"GOVERNMENT BUILDING/PROPERTY",836
"NURSING HOME/RETIREMENT HOME",798
"CURRENCY EXCHANGE",772
WAREHOUSE,761
"CONSTRUCTION SITE",712
HOUSE,675
"CHURCH/SYNAGOGUE/PLACE OF WORSHIP",667
"NURSING / RETIREMENT HOME",586
FACTORY,562
"AIRPORT TERMINAL",518
"ATHLETIC CLUB",460
"ABANDONED BUILDING",455
"CLEANING STORE",455
"GOVERNMENT BUILDING / PROPERTY",454
LIBRARY,447
BARBERSHOP,428
"CTA STATION",423
"MEDICAL/DENTAL OFFICE",412
PORCH,399
"CHURCH / SYNAGOGUE / PLACE OF WORSHIP",382
TAXICAB,350
"CTA BUS STOP",312
YARD,311
"CHA PARKING LOT / GROUNDS",298
"OTHER RAILROAD PROP / TRAIN DEPOT",291
"APPLIANCE STORE",245
"COLLEGE/UNIVERSITY GROUNDS",242
"MOVIE THEATER",239
"CAR WASH",238
"MEDICAL / DENTAL OFFICE",232
"VEHICLE - COMMERCIAL",229
"DAY CARE CENTER",227
"AIRPORT PARKING LOT",206
"OTHER COMMERCIAL TRANSPORTATION",201
VEHICLE-COMMERCIAL,201
"SPORTS ARENA/STADIUM",179
"AUTO / BOAT / RV DEALERSHIP",146
"SPORTS ARENA / STADIUM",139
"CTA PARKING LOT / GARAGE / OTHER PROPERTY",128
"ATM (AUTOMATIC TELLER MACHINE)",117
"OTHER RAILROAD PROPERTY / TRAIN DEPOT",116
HALLWAY,106
"RETAIL STORE",100
WATERFRONT,95
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",87
"FIRE STATION",82
"AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA",81
"FEDERAL BUILDING",80
"COLLEGE / UNIVERSITY - GROUNDS",77
GANGWAY,74
"GAS STATION DRIVE/PROP.",71
"AIRPORT EXTERIOR - NON-SECURE AREA",70
"BOWLING ALLEY",67
"COIN OPERATED MACHINE",66
"DELIVERY TRUCK",61
AIRCRAFT,60
"CHA PARKING LOT",58
"COLLEGE/UNIVERSITY RESIDENCE HALL",52
"AIRPORT BUILDING NON-TERMINAL - SECURE AREA",50
"CHA GROUNDS",47
"FOREST PRESERVE",42
"AIRPORT EXTERIOR - SECURE AREA",41
"JAIL / LOCK-UP FACILITY",39
"CHA HALLWAY",38
TAVERN,37
CEMETARY,34
"CREDIT UNION",34
"VEHICLE - DELIVERY TRUCK",34
HIGHWAY/EXPRESSWAY,33
BASEMENT,32
"HIGHWAY / EXPRESSWAY",30
BOAT/WATERCRAFT,29
VESTIBULE,28
DRIVEWAY,27
HOTEL,26
"BARBER SHOP/BEAUTY SALON",26
STAIRWELL,24
BRIDGE,23
"POOL ROOM",23
"COLLEGE / UNIVERSITY - RESIDENCE HALL",22
NEWSSTAND,22
OFFICE,20
"ANIMAL HOSPITAL",19
"PAWN SHOP",19
"SAVINGS AND LOAN",19
