Year,Month,TimeOfDay,District,Community_Area,CrimeCount
2001,1,Afternoon,1,-1,141
2001,1,Afternoon,1,28,66
2001,1,Afternoon,1,32,369
2001,1,Afternoon,1,32.12,6
2001,1,Afternoon,1,32.125,1
2001,1,Afternoon,1,33,9
2001,1,Afternoon,2,-1,721
2001,1,Afternoon,2,33,46
2001,1,Afternoon,2,33.333333333333336,3
2001,1,Afternoon,2,33.977777777777774,1
2001,1,Afternoon,2,34,9
2001,1,Afternoon,2,35,158
2001,1,Afternoon,2,36.66666666666666,2
2001,1,Afternoon,2,36.75,1
2001,1,Afternoon,2,37.5,1
2001,1,Afternoon,2,38,68
2001,1,Afternoon,2,39,1
2001,1,Afternoon,2,40,9
2001,1,Afternoon,2,41,1
2001,1,Afternoon,2,68,5
2001,1,Afternoon,3,-1,545
2001,1,Afternoon,3,41,2
2001,1,Afternoon,3,42,4
2001,1,Afternoon,3,43,19
2001,1,Afternoon,3,69,12
2001,1,Afternoon,4,-1,540
2001,1,Afternoon,4,43,8
2001,1,Afternoon,4,43.5,4
2001,1,Afternoon,4,43.93103448275862,1
2001,1,Afternoon,4,46,4
2001,1,Afternoon,4,52,16
2001,1,Afternoon,4,55,2
2001,1,Afternoon,5,-1,388
2001,1,Afternoon,5,49,14
2001,1,Afternoon,5,53,45
2001,1,Afternoon,6,-1,488
2001,1,Afternoon,6,44,2
2001,1,Afternoon,6,49,3
2001,1,Afternoon,6,69,4
2001,1,Afternoon,6,71,106
2001,1,Afternoon,7,-1,389
2001,1,Afternoon,7,67,81
2001,1,Afternoon,7,68,156
2001,1,Afternoon,8,-1,669
2001,1,Afternoon,8,30,1
2001,1,Afternoon,8,57,12
2001,1,Afternoon,8,58,2
2001,1,Afternoon,8,62,9
2001,1,Afternoon,8,63,8
2001,1,Afternoon,8,65,22
2001,1,Afternoon,8,65.83333333333333,1
2001,1,Afternoon,8,66,40
2001,1,Afternoon,8,70,6
2001,1,Afternoon,9,-1,417
2001,1,Afternoon,9,34,2
2001,1,Afternoon,9,35,1
2001,1,Afternoon,9,35.5,1
2001,1,Afternoon,9,36.5,1
2001,1,Afternoon,9,37,5
2001,1,Afternoon,9,58,12
2001,1,Afternoon,9,58.11111111111112,1
2001,1,Afternoon,9,59,7
2001,1,Afternoon,9,60,32
2001,1,Afternoon,9,60.333333333333336,1
2001,1,Afternoon,9,60.5,1
2001,1,Afternoon,9,60.71428571428572,1
2001,1,Afternoon,9,60.90476190476191,3
2001,1,Afternoon,9,61,76
2001,1,Afternoon,9,63,4
2001,1,Afternoon,9,64,2
2001,1,Afternoon,10,-1,369
2001,1,Afternoon,10,28,1
2001,1,Afternoon,10,29,36
2001,1,Afternoon,10,30,21
2001,1,Afternoon,10,31,18
2001,1,Afternoon,11,-1,316
2001,1,Afternoon,11,23,37
2001,1,Afternoon,11,25,21
2001,1,Afternoon,11,26,76
2001,1,Afternoon,11,27,91
2001,1,Afternoon,11,28,6
2001,1,Afternoon,11,28.849056603773583,1
2001,1,Afternoon,11,29,43
2001,1,Afternoon,12,-1,332
2001,1,Afternoon,12,23,5
2001,1,Afternoon,12,24,92
2001,1,Afternoon,12,27,20
2001,1,Afternoon,12,27.77777777777778,1
2001,1,Afternoon,12,28,161
2001,1,Afternoon,12,31,38
2001,1,Afternoon,14,-1,383
2001,1,Afternoon,14,21,8
2001,1,Afternoon,14,22,54
2001,1,Afternoon,14,23,14
2001,1,Afternoon,14,23.6,1
2001,1,Afternoon,14,24,59
2001,1,Afternoon,15,-1,323
2001,1,Afternoon,15,25,165
2001,1,Afternoon,16,-1,279
2001,1,Afternoon,16,10,1
2001,1,Afternoon,16,11,9
2001,1,Afternoon,16,12,1
2001,1,Afternoon,16,12.6,1
2001,1,Afternoon,16,15,39
